twitter_uid,ght_uid
14923525,805432
745130162,569481
38293796,404937
297767712,1751058
15389598,89880
235601135,1759138
6998112,148378
21704370,186991
14174528,1831994
15897580,100120
14621017,152996
146385510,9673461
15660494,160546
135524505,2107326
883501,846874
14989926,8254
1533324444,227800
10409602,395352
295145336,173456
97933,79418
2339632850,1859791
95456171,2163212
118648817,170856
146447463,1990269
74674010,221166
9949812,3930440
3253491583,8547431
61809256,1913700
125364650,2766411
27439723,124962
454786100,220736
7944602,584063
339226723,238539
828143396,1928996
134550238,3475739
132894924,68387
128347005,1053687
3330320893,1040205
15535745,77863
25434085,11098370
15250858,787432
23943026,578622
2926018980,102681
206618377,12824
124761691,2452502
12838,894318
240231823,2328944
14588600,9333846
1557655375,956148
65912601,417657
89405591,63253
168382789,19367
287787522,16652457
234065046,6782770
252482474,10181040
3244634553,12959481
18137775,73022
94369505,2363004
14400446,50824
305777239,925348
4765540587,10300052
101092998,179059
926467911589523457,374004
14075178,1149166
41332024,3022195
85344116,5040599
432957506,6160623
1934833310,1190267
76732293,413759
21319665,89848
8176062,5879600
156990589,355991
4278893603,963410
156740867,1481501
331621806,1552382
53225133,166907
2007051,148251
57341980,3275649
14101528,3467682
615296654,366540
72718106,1797122
264436428,253396
2418339218,3156010
3291475533,262976
30905483,2223169
300735804,2504048
15967248,108201
34064259,289041
2885912375,2834550
33050453,87377
192007004,909957
210898862,69726
19961317,635897
3364327647,2322813
15398651,119337
877530516995665920,4559330
473592144,1935924
4250432379,3736878
199869203,1489062
951950858,6947291
18385971,125758
143109467,2239018
4696542326,8120062
6488652,237412
330151669,754122
36428666,748856
99824067,587215
16111054,2824947
73575818,353497
789173091809177600,33703
303814344,216037
24000011,396233
427986488,160469
29938474,592747
361517406,84
1112548500,349748
76236787,13043
14233953,3148330
1974746954,1785485
7078572,51782
9980142,54417
15350737,1105573
3025536609,2226902
905017784,2086984
1266402446,2198787
1155100250,4258016
131922239,265345
3922901,33374
91531742,5557633
203241138,1543447
26205122,1185302
7857412,64115
440221838,1966466
51978919,815962
16436515,17250
761960,24495
198301814,1483852
105717616,328958
14520110,212252
127856293,312885
14910531,181924
1210261164,3133159
89658373,33221
1086128414,2623217
3061630762,792444
15415540,18701
16294392,24630
198425083,151532
842611581653565440,1722767
123493919,515411
19523882,30621
4749914357,11182739
344650212,765946
342015937,1181938
633940602,1047147
742649947,299652
82149756,1281005
613302396,7041764
1591339914,97734
6797112,127867
18908446,377322
17052884,77391
148546579,144318
23772196,13746
15349954,6216086
32452828,77282
297906669,253058
15411837,2440632
248859700,837799
81131150,7207400
16898833,7718778
474143,243244
857645867247030273,1055869
30399127,184732
12241142,6510498
18795132,3878458
131578528,2640050
155929321,513710
7011892,177467
1155113466,291091
17825124,42701
844292729941213185,1709144
24806535,90060
820024249,11528005
284706681,190885
1515997849,9538010
114268972,8618102
237373246,2242263
1256193193,682607
52414540,11926874
4943161,18622
25336778,4424552
761412281322250240,8843638
32144617,2141932
2581000296,3305706
1825281,410733
15398383,351114
459243362,127581
18253920,835367
2615910029,12042611
841774568691896320,11283432
3956335641,635493
104320621,2338668
81129050,4353
1156052538,2079826
95098297,1281232
30830839,137228
7233112,12067894
148984536,363122
17170464,5715996
2194609321,1971605
3235086235,312212
20431686,544704
2815196498,10856415
33694423,161178
2283638300,20393
225176771,1100034
4768121,44903
342898870,176790
6567232,205409
71515090,429683
61777578,109201
886570778,931859
7025762,240518
68936285,925774
9292582,38131
53307788,103935
7026492,3619583
3190028754,3743439
16500313,6538314
14803185,119834
791765222,2343098
40125351,312628
104762618,1421119
927148627017060352,1146928
36276314,4465955
47920130,7711661
399036449,973379
20618252,27743
181344408,17975
15675334,356619
384547331,326601
2324582970,4115127
792267403,540496
2904350457,3178040
12083242,620453
9217412,33930
16785615,7026887
14437064,32791
160523912,2610201
718291788,2547544
60128303,2482234
107491845,850576
42413630,154089
300936837,507270
312384108,10949669
78917087,124655
150859245,67166
124052624,26407
43141555,2633452
46068907,162166
17251893,41795
93254936,3014117
222607860,123643
305893048,1870513
29985046,22241
56124985,80557
270870921,3847765
3293680170,529017
6621712,28867
12823552,1326561
8300282,123621
238154511,471542
